code,name,lake
LEZ020,Upper Niagara River and Buffalo Harbor,LE
LEZ040,Ripley to Dunkirk NY,LE
LEZ041,Dunkirk to Buffalo NY,LE
LEZ061,Ripley to Buffalo NY extending from 5NM off shoreline to US-Canadian border,LE
LEZ142,Maumee Bay to Reno Beach OH,LE
LEZ143,Reno Beach to The Islands OH,LE
LEZ144,The Islands to Vermilion OH,LE
LEZ145,Vermilion to Avon Point OH,LE
LEZ146,Avon Point to Willowick OH,LE
LEZ147,Willowick to Geneva-on-the Lake OH,LE
LEZ148,Geneva-on-the-Lake to Conneaut OH,LE
LEZ149,Conneaut OH to Ripley NY,LE
LEZ162,Detroit River Lt. to Maumee Bay OH to Reno Beach OH beyond 5NM offshoreline to US-Canadian border,LE
LEZ163,Reno Beach to The Islands OH beyond 5NM off shoreline to US-Canadian border,LE
LEZ164,The Islands to Vermilion OH beyond 5 nm off shoreline to US-Canadian border,LE
LEZ165,Vermilion to Avon Point OH beyond 5 nm off shoreline to US-Canadian border,LE
LEZ166,Avon Point to Willowick OH beyond 5 nm off shoreline to US-Canadian border,LE
LEZ167,Willowick to Geneva-on-the-Lake OH beyond 5NM off shoreline to US-Canadian border,LE
LEZ168,Geneva-on-the-Lake to Conneaut OH beyond 5 nm off shoreline to US-Canadian border,LE
LEZ169,Conneaut OH to Ripley NY beyond 5 nm off shoreline to US-Canadian border,LE
LEZ444,Michigan Waters of Lake Erie from Detroit River to North Cape MI,LE
LOZ030,Lower Niagara River,LO
LOZ042,Niagara River to Hamlin Beach NY,LO
LOZ043,Hamlin Beach to Sodus Bay NY,LO
LOZ044,Sodus Bay to Mexico Bay NY,LO
LOZ045,Mexico Bay NY to the St. Lawrence River,LO
LOZ062,Niagara River to Hamlin Beach NY beyond 5NM off shoreline to US-Canadian border,LO
LOZ063,Hamlin Beach to Sodus Bay NY beyond 5NM off shoreline to US-Canadian border,LO
LOZ064,Sodus Bay to Mexico Bay NY beyond 5NM off shoreline to US-Canadian border,LO
LOZ065,Mexico Bay NY to the St. Lawrence River beyond 5NM off shoreline to US-Canadian border,LO
SLZ022,St. Lawrence River above Ogdensburg NY,SL
SLZ024,St. Lawrence River from Ogdensburg to St. Regis NY,SL