station,location,app,domain
arec179,vt-arec,weatherstem,com
arec74,vt-arec,weatherstem,com
uvamlbs,giles,weatherstem,com
kentlandfarms,vt-arec,weatherstem,com
vtdronepark,montgomery,weatherstem,com
arec71,vt-arec,weatherstem,com
thelawn,albemarle,weatherstem,com
moorefield,hardy,weatherstem,com
arec88,vt-arec,weatherstem,com
arec70,vt-arec,weatherstem,com
tdhs,chesterfield,weatherstem,com
arec115,vt-arec,weatherstem,com
moyock,currituck,weatherstem,com
ccemcarovabeach,currituck,weatherstem,com
arec75,vt-arec,weatherstem,com
arec81,vt-arec,weatherstem,com
arec69,vt-arec,weatherstem,com
gwufoggybottom,dc,weatherstem,com
gwumountvernon,dc,weatherstem,com
claytonfire,kent,weatherstem,com
gwuvstc,loudoun,weatherstem,com
arec187,vt-arec,weatherstem,com
xecunet,frederick,weatherstem,com
bres,jefferson-wv,weatherstem,com
jhs,jefferson-wv,weatherstem,com
northjefferson,jefferson-wv,weatherstem,com
springmillsms,berkeley,weatherstem,com
martinsburghs,berkeley,weatherstem,com
ranson,jefferson-wv,weatherstem,com
apus,jefferson-wv,weatherstem,com
croda,newcastle,weatherstem,com
krsd,gloucester,weatherstem,com
rccs,dauphin,weatherstem,com
indianvalley,mifflin,weatherstem,com
hub,centre,weatherstem,com
scec,huntingdon,weatherstem,com
ecs,allegheny,weatherstem,com
pscp,allegheny,weatherstem,com
pitt,allegheny,weatherstem,com
heinzfield,allegheny,weatherstem,com
falk,allegheny,weatherstem,com
stmarys,pleasants,weatherstem,com
ple,crawford,weatherstem,com
beaverstadium,centre,weatherstem,com
arboretum,centre,weatherstem,com
psugolf,centre,weatherstem,com
hub,centre,weatherstem,com
horseheadshigh,chemung,weatherstem,com
syracuse,onondaga,weatherstem,com
rondoutvalley,ulster,weatherstem,com
greentree,nassau-ny,weatherstem,com
hofstra,nassau-ny,weatherstem,com
hofstrasoccer,nassau-ny,weatherstem,com
hofstragarden,nassau-ny,weatherstem,com